time,data
1.7624507396600658e+18,Error Code 0: No fault - Motor operating normally
1.7624507397153231e+18,Error Code 0: No fault - Motor operating normally
1.762450739758298e+18,Error Code 0: No fault - Motor operating normally
1.7624507398062252e+18,Error Code 0: No fault - Motor operating normally
1.762450739865096e+18,Error Code 0: No fault - Motor operating normally
1.7624507399085015e+18,Error Code 0: No fault - Motor operating normally
1.76245073995667e+18,Error Code 0: No fault - Motor operating normally
1.7624507400070838e+18,Error Code 0: No fault - Motor operating normally
1.762450740057021e+18,Error Code 0: No fault - Motor operating normally
1.762450740106558e+18,Error Code 0: No fault - Motor operating normally
1.762450740156404e+18,Error Code 0: No fault - Motor operating normally
1.7624507402073167e+18,Error Code 0: No fault - Motor operating normally
1.762450740259407e+18,Error Code 0: No fault - Motor operating normally
1.7624507403069763e+18,Error Code 0: No fault - Motor operating normally
1.762450740358936e+18,Error Code 0: No fault - Motor operating normally
1.7624507404106058e+18,Error Code 0: No fault - Motor operating normally
1.7624507404600998e+18,Error Code 0: No fault - Motor operating normally
1.7624507405130122e+18,Error Code 0: No fault - Motor operating normally
1.7624507405600727e+18,Error Code 0: No fault - Motor operating normally
1.7624507406069614e+18,Error Code 0: No fault - Motor operating normally
1.7624507406567734e+18,Error Code 0: No fault - Motor operating normally
1.7624507407056343e+18,Error Code 0: No fault - Motor operating normally
1.7624507407594568e+18,Error Code 0: No fault - Motor operating normally
1.7624507408115827e+18,Error Code 0: No fault - Motor operating normally
1.7624507408582523e+18,Error Code 0: No fault - Motor operating normally
1.7624507409072786e+18,Error Code 0: No fault - Motor operating normally
1.762450740958753e+18,Error Code 0: No fault - Motor operating normally
1.762450741013392e+18,Error Code 0: No fault - Motor operating normally
1.7624507410567967e+18,Error Code 0: No fault - Motor operating normally
1.7624507411086042e+18,Error Code 0: No fault - Motor operating normally
1.7624507411641203e+18,Error Code 0: No fault - Motor operating normally
1.7624507412100372e+18,Error Code 0: No fault - Motor operating normally
1.7624507412628764e+18,Error Code 0: No fault - Motor operating normally
1.7624507413138975e+18,Error Code 0: No fault - Motor operating normally
1.762450741365847e+18,Error Code 0: No fault - Motor operating normally
1.7624507414080366e+18,Error Code 0: No fault - Motor operating normally
1.7624507414550638e+18,Error Code 0: No fault - Motor operating normally
1.7624507415078177e+18,Error Code 0: No fault - Motor operating normally
1.7624507415572378e+18,Error Code 0: No fault - Motor operating normally
1.7624507416064591e+18,Error Code 0: No fault - Motor operating normally
1.7624507416578081e+18,Error Code 0: No fault - Motor operating normally
1.7624507417074962e+18,Error Code 0: No fault - Motor operating normally
1.762450741756511e+18,Error Code 0: No fault - Motor operating normally
1.7624507418069012e+18,Error Code 0: No fault - Motor operating normally
1.7624507418575613e+18,Error Code 0: No fault - Motor operating normally
1.7624507419060974e+18,Error Code 0: No fault - Motor operating normally
1.76245074195676e+18,Error Code 0: No fault - Motor operating normally
1.7624507420076419e+18,Error Code 0: No fault - Motor operating normally
1.7624507420563592e+18,Error Code 0: No fault - Motor operating normally
1.7624507421075356e+18,Error Code 0: No fault - Motor operating normally
1.7624507421562527e+18,Error Code 0: No fault - Motor operating normally
1.7624507422066762e+18,Error Code 0: No fault - Motor operating normally
1.7624507422573468e+18,Error Code 0: No fault - Motor operating normally
1.762450742307828e+18,Error Code 0: No fault - Motor operating normally
1.7624507423576195e+18,Error Code 0: No fault - Motor operating normally
1.7624507424062095e+18,Error Code 0: No fault - Motor operating normally
1.762450742457241e+18,Error Code 0: No fault - Motor operating normally
1.7624507425105692e+18,Error Code 0: No fault - Motor operating normally
1.762450742556709e+18,Error Code 0: No fault - Motor operating normally
1.7624507426064238e+18,Error Code 0: No fault - Motor operating normally
1.762450742656216e+18,Error Code 0: No fault - Motor operating normally
1.7624507427067064e+18,Error Code 0: No fault - Motor operating normally
1.7624507427566584e+18,Error Code 0: No fault - Motor operating normally
1.7624507428064407e+18,Error Code 0: No fault - Motor operating normally
1.76245074285667e+18,Error Code 0: No fault - Motor operating normally
1.7624507429066138e+18,Error Code 0: No fault - Motor operating normally
