time,data
1.7624507402687936e+18,Error Code 0: No fault - Motor operating normally
1.7624507403160796e+18,Error Code 0: No fault - Motor operating normally
1.7624507403658609e+18,Error Code 0: No fault - Motor operating normally
1.7624507404157957e+18,Error Code 0: No fault - Motor operating normally
1.762450740465578e+18,Error Code 0: No fault - Motor operating normally
1.7624507405160855e+18,Error Code 0: No fault - Motor operating normally
1.7624507405710003e+18,Error Code 0: No fault - Motor operating normally
1.7624507406188132e+18,Error Code 0: No fault - Motor operating normally
1.7624507406726392e+18,Error Code 0: No fault - Motor operating normally
1.762450740716031e+18,Error Code 0: No fault - Motor operating normally
1.7624507407660495e+18,Error Code 0: No fault - Motor operating normally
1.7624507408216264e+18,Error Code 0: No fault - Motor operating normally
1.7624507408689137e+18,Error Code 0: No fault - Motor operating normally
1.7624507409229832e+18,Error Code 0: No fault - Motor operating normally
1.7624507409700598e+18,Error Code 0: No fault - Motor operating normally
1.7624507410201198e+18,Error Code 0: No fault - Motor operating normally
1.7624507410685716e+18,Error Code 0: No fault - Motor operating normally
1.7624507411182477e+18,Error Code 0: No fault - Motor operating normally
1.7624507411697902e+18,Error Code 0: No fault - Motor operating normally
1.7624507412169733e+18,Error Code 0: No fault - Motor operating normally
1.762450741272732e+18,Error Code 0: No fault - Motor operating normally
1.7624507413170284e+18,Error Code 0: No fault - Motor operating normally
1.7624507413739162e+18,Error Code 0: No fault - Motor operating normally
1.7624507414188134e+18,Error Code 0: No fault - Motor operating normally
1.7624507414700006e+18,Error Code 0: No fault - Motor operating normally
1.7624507415241682e+18,Error Code 0: No fault - Motor operating normally
1.7624507415663462e+18,Error Code 0: No fault - Motor operating normally
1.76245074161551e+18,Error Code 0: No fault - Motor operating normally
1.7624507416658127e+18,Error Code 0: No fault - Motor operating normally
1.762450741716349e+18,Error Code 0: No fault - Motor operating normally
1.7624507417658452e+18,Error Code 0: No fault - Motor operating normally
1.7624507418161984e+18,Error Code 0: No fault - Motor operating normally
1.762450741866221e+18,Error Code 0: No fault - Motor operating normally
1.7624507419158492e+18,Error Code 0: No fault - Motor operating normally
1.7624507419659948e+18,Error Code 0: No fault - Motor operating normally
1.762450742015959e+18,Error Code 0: No fault - Motor operating normally
1.762450742066091e+18,Error Code 0: No fault - Motor operating normally
1.7624507421165676e+18,Error Code 0: No fault - Motor operating normally
1.762450742166205e+18,Error Code 0: No fault - Motor operating normally
1.7624507422159025e+18,Error Code 0: No fault - Motor operating normally
1.7624507422669258e+18,Error Code 0: No fault - Motor operating normally
1.7624507423208392e+18,Error Code 0: No fault - Motor operating normally
1.762450742366741e+18,Error Code 0: No fault - Motor operating normally
1.76245074242158e+18,Error Code 0: No fault - Motor operating normally
1.7624507424667666e+18,Error Code 0: No fault - Motor operating normally
1.7624507425154012e+18,Error Code 0: No fault - Motor operating normally
1.7624507425658842e+18,Error Code 0: No fault - Motor operating normally
1.7624507426163581e+18,Error Code 0: No fault - Motor operating normally
1.7624507426657155e+18,Error Code 0: No fault - Motor operating normally
1.762450742715964e+18,Error Code 0: No fault - Motor operating normally
1.7624507427666488e+18,Error Code 0: No fault - Motor operating normally
1.7624507428161567e+18,Error Code 0: No fault - Motor operating normally
1.7624507428662597e+18,Error Code 0: No fault - Motor operating normally
1.7624507429159936e+18,Error Code 0: No fault - Motor operating normally
1.7624507429757207e+18,Error Code 0: No fault - Motor operating normally
1.7624507430165274e+18,Error Code 0: No fault - Motor operating normally
1.7624507430658916e+18,Error Code 0: No fault - Motor operating normally
1.762450743116898e+18,Error Code 0: No fault - Motor operating normally
1.7624507431660303e+18,Error Code 0: No fault - Motor operating normally
1.7624507432188713e+18,Error Code 0: No fault - Motor operating normally
1.7624507432683387e+18,Error Code 0: No fault - Motor operating normally
1.7624507433173015e+18,Error Code 0: No fault - Motor operating normally
1.7624507433687404e+18,Error Code 0: No fault - Motor operating normally
1.7624507434163543e+18,Error Code 0: No fault - Motor operating normally
1.762450743468833e+18,Error Code 0: No fault - Motor operating normally
1.7624507435154854e+18,Error Code 0: No fault - Motor operating normally
1.762450743569967e+18,Error Code 0: No fault - Motor operating normally
1.7624507436199396e+18,Error Code 0: No fault - Motor operating normally
1.762450743666559e+18,Error Code 0: No fault - Motor operating normally
1.7624507437189903e+18,Error Code 0: No fault - Motor operating normally
1.762450743770038e+18,Error Code 0: No fault - Motor operating normally
1.7624507438179953e+18,Error Code 0: No fault - Motor operating normally
1.7624507438686188e+18,Error Code 0: No fault - Motor operating normally
1.7624507439189204e+18,Error Code 0: No fault - Motor operating normally
1.7624507439715927e+18,Error Code 0: No fault - Motor operating normally
1.7624507440175475e+18,Error Code 0: No fault - Motor operating normally
1.7624507440685553e+18,Error Code 0: No fault - Motor operating normally
1.7624507441156877e+18,Error Code 0: No fault - Motor operating normally
1.7624507441656433e+18,Error Code 0: No fault - Motor operating normally
1.762450744215747e+18,Error Code 0: No fault - Motor operating normally
1.762450744266168e+18,Error Code 0: No fault - Motor operating normally
1.7624507443160474e+18,Error Code 0: No fault - Motor operating normally
1.7624507443737382e+18,Error Code 0: No fault - Motor operating normally
1.7624507444216481e+18,Error Code 0: No fault - Motor operating normally
1.762450744471552e+18,Error Code 0: No fault - Motor operating normally
1.7624507445239514e+18,Error Code 0: No fault - Motor operating normally
1.7624507445724408e+18,Error Code 0: No fault - Motor operating normally
1.7624507446158257e+18,Error Code 0: No fault - Motor operating normally
1.762450744665905e+18,Error Code 0: No fault - Motor operating normally
1.762450744716088e+18,Error Code 0: No fault - Motor operating normally
1.76245074476588e+18,Error Code 0: No fault - Motor operating normally
1.7624507448232502e+18,Error Code 0: No fault - Motor operating normally
1.7624507448719974e+18,Error Code 0: No fault - Motor operating normally
1.7624507449163494e+18,Error Code 0: No fault - Motor operating normally
1.762450744972621e+18,Error Code 0: No fault - Motor operating normally
1.7624507450179098e+18,Error Code 0: No fault - Motor operating normally
1.7624507450663552e+18,Error Code 0: No fault - Motor operating normally
1.762450745115693e+18,Error Code 0: No fault - Motor operating normally
1.762450745166046e+18,Error Code 0: No fault - Motor operating normally
1.762450745221023e+18,Error Code 0: No fault - Motor operating normally
1.7624507452725624e+18,Error Code 0: No fault - Motor operating normally
1.7624507453186637e+18,Error Code 0: No fault - Motor operating normally
1.7624507453687155e+18,Error Code 0: No fault - Motor operating normally
1.7624507454201628e+18,Error Code 0: No fault - Motor operating normally
1.7624507454663378e+18,Error Code 0: No fault - Motor operating normally
1.7624507455175846e+18,Error Code 0: No fault - Motor operating normally
1.7624507455759818e+18,Error Code 0: No fault - Motor operating normally
1.7624507456263416e+18,Error Code 0: No fault - Motor operating normally
1.762450745666818e+18,Error Code 0: No fault - Motor operating normally
1.76245074571664e+18,Error Code 0: No fault - Motor operating normally
1.7624507457664556e+18,Error Code 0: No fault - Motor operating normally
1.762450745815547e+18,Error Code 0: No fault - Motor operating normally
1.7624507458659395e+18,Error Code 0: No fault - Motor operating normally
1.7624507459157335e+18,Error Code 0: No fault - Motor operating normally
1.7624507459649477e+18,Error Code 0: No fault - Motor operating normally
1.7624507460157696e+18,Error Code 0: No fault - Motor operating normally
1.762450746065513e+18,Error Code 0: No fault - Motor operating normally
1.7624507461155085e+18,Error Code 0: No fault - Motor operating normally
1.7624507461656233e+18,Error Code 0: No fault - Motor operating normally
1.7624507462177677e+18,Error Code 0: No fault - Motor operating normally
1.7624507462661937e+18,Error Code 0: No fault - Motor operating normally
1.762450746315855e+18,Error Code 0: No fault - Motor operating normally
1.762450746366167e+18,Error Code 0: No fault - Motor operating normally
1.762450746415584e+18,Error Code 0: No fault - Motor operating normally
1.7624507464656801e+18,Error Code 0: No fault - Motor operating normally
1.7624507465156892e+18,Error Code 0: No fault - Motor operating normally
1.7624507465656694e+18,Error Code 0: No fault - Motor operating normally
1.762450746615983e+18,Error Code 0: No fault - Motor operating normally
1.7624507466658524e+18,Error Code 0: No fault - Motor operating normally
1.762450746716048e+18,Error Code 0: No fault - Motor operating normally
1.7624507467656013e+18,Error Code 0: No fault - Motor operating normally
1.7624507468157327e+18,Error Code 0: No fault - Motor operating normally
1.7624507468626542e+18,Error Code 0: No fault - Motor operating normally
1.762450746872914e+18,Error Code 0: No fault - Motor operating normally
1.762450746916685e+18,Error Code 0: No fault - Motor operating normally
1.762450746965885e+18,Error Code 0: No fault - Motor operating normally
